timestamps	index	text	role	label	video	stage	gender	subject
00:30:51,390 --> 00:30:53,060	31816	\u4e3a\u4ec0\u4e48\u4f60\u4f1a\u7279\u610f\u60f3\u5230\u6587\u5316\u8f6f\u5b9e\u529b	\u6559\u5e08	\u5f15\u5bfc\u601d\u8003	video_high_1	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u653f\u6cbb
00:31:41,070 --> 00:31:48,660	31823	\u975e\u5e38\u597d，\u90a3\u4e48\u521a\u521a\u6211\u4eec[\u59d3\u540d]\u540c\u5b66\u53ef\u80fd\u5728\u8bb2\u63d0\u5347\u56fd\u5bb6\u5b9e\u529b\u7684\u65f6\u5019\u662f\u4ece\u79d1\u6280\u7684\u5c42\u9762\u786c\u5b9e\u529b\u7684\u5c42\u9762	\u6559\u5e08	\u60c5\u611f\u652f\u6301\u4e0e\u53cd\u9988	video_high_1	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u653f\u6cbb
00:31:48,670 --> 00:31:55,840	31825	\u90a3\u4e48\u521a\u521a[\u59d3\u540d]\u540c\u5b66\u8865\u5145\u4e86，\u5176\u5b9e\u6574\u4e2a\u56fd\u5bb6\u5b9e\u529b\u6211\u4eec\u628a\u5b83\u53eb\u7efc\u5408\u7684\u56fd\u529b，\u5b83\u8fd8\u4e0d\u5bb9\u5ffd\u89c6\u7684\u5c31\u662f\u6587\u5316\u7684\u8f6f\u5b9e\u529b	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_1	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u653f\u6cbb
00:31:55,850 --> 00:31:58,360	31826	\u6211\u4eec\u8981\u53bb\u589e\u5f3a\u81ea\u5df1\u7684\u4e00\u79cd\u6587\u5316\u81ea\u4fe1	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_1	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u653f\u6cbb
00:31:58,920 --> 00:32:00,790	31827	\u597d，\u90a3\u4e48\u8865\u5145\u7684\u771f\u7684\u975e\u5e38\u7684\u5b8c\u6574	\u6559\u5e08	\u60c5\u611f\u652f\u6301\u4e0e\u53cd\u9988	video_high_1	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u653f\u6cbb
00:32:01,200 --> 00:32:06,630	31828	\u6211\u4eec\u8bf4\u5f53\u524d\u7684\u56fd\u9645\u4e2d\u7f8e\u5173\u7cfb\u53ef\u4ee5\u7528\u4e71\u4e91\u98de\u6e21\u6765\u5f62\u5bb9	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_1	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u653f\u6cbb
00:32:06,800 --> 00:32:11,510	31829	\u90a3\u4e48\u5728\u8fd9\u6837\u7684\u4e00\u79cd\u4e2d\u7f8e\u5173\u7cfb\u7684\u80cc\u666f\u4e0b\u6211\u4eec\u8be5\u600e\u4e48\u53bb\u4ece\u5bb9\u5e94\u5bf9	\u6559\u5e08	\u5f15\u5bfc\u601d\u8003	video_high_1	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u653f\u6cbb
00:32:11,880 --> 00:32:22,370	31830	\u4f60\u4eec\u521a\u521a\u53bb\u8bb2\u5230\u4e86\u4e00\u70b9，\u5c31\u662f\u6211\u4eec\u8981\u575a\u5b9a\u7684\u53bb\u7ef4\u62a4\u81ea\u5df1\u7684\u56fd\u5bb6\u5229\u76ca，\u540c\u65f6\u4e5f\u8981\u53bb\u63d0\u5347\u81ea\u5df1\u7684\u56fd\u5bb6\u5b9e\u529b	\u6559\u5e08	\u60c5\u611f\u652f\u6301\u4e0e\u53cd\u9988	video_high_1	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u653f\u6cbb
00:32:22,380 --> 00:32:32,830	31831	\u8fd9\u662f\u6211\u4eec\u5728\u4e71\u4e91\u98de\u6e21\u4e4b\u4e0b\u7684\u4e00\u79cd\u4ece\u5bb9，\u6240\u4ee5\u6211\u4eec\u8bf4\u975e\u5e38\u91cd\u8981，\u98ce\u96e8\u98ce\u5439\u6d6a\u6253，\u6211\u4eec\u80fd\u6de1\u5b9a\u4ece\u5bb9	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_1	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u653f\u6cbb
00:32:32,840 --> 00:32:39,960	31832	\u5c31\u662f\u5173\u952e\u628a\u81ea\u5df1\u80fd\u505a\u7684\u4e8b\u60c5\u505a\u597d，\u6211\u4eec\u53ef\u4ee5\u53bb\u5408\u7406\u7684\u53bb\u8fd0\u7528\u56fd\u9645\u7684\u89c4\u5219，\u6bd4\u5982\u8bf4\u8054\u5408\u56fd	\u6559\u5e08	\u77e5\u8bc6\u8bb2\u6388	video_high_1	\u9ad8\u4e2d\u9636\u6bb5	\u5973	\u653f\u6cbb
